Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,S.No.,Customer ID,Stage Name,Attempt Count,Failure Percentage,Time Taken (in seconds),Error
,1,2815597,Upload Document,1,0.15,16,Upload the Selected Document
,2,2738532,Document Scan,3,0.3,39,Please scan the correct document 
,3,4110529,Document Scan,2,0.2,25,Please scan the correct document 
,4,2992473,KYC Check,3,0.3,32,KYC data not found; please upload correct KYC
,5,4205534,KYC Approved,1,0,15,KYC Successful
,6,3980339,Select Document Type,3,0.15,28,Please select correct document type
,7,3805421,Upload Document,2,0.4,26,Please upload the correct selected document
,8,3677810,Document Scan,1,0.1,16,Proceed to Document Upload
,9,2886682,KYC Check,3,0.6,38,KYC data not found; please upload correct KYC
,10,4949923,Upload Document,1,0.1875,25,Upload the Selected Document
,11,1889333,KYC Approved,1,0,16,KYC Successful
,12,2613038,Upload Document,2,0.24,36,Please upload the correct selected document
,13,1322575,Select Document Type,2,0.1,40,Please select correct document type
,14,2611113,Document Scan,1,0.1,19,Proceed to Document Upload
,15,4307578,Upload Document,1,0.075,21,Upload the Selected Document
,16,4230543,Document Scan,3,0.3,30,Please scan the correct document 
,17,2544830,Document Scan,2,0.2,26,Please scan the correct document 
,18,2463113,KYC Check,3,0.6,47,KYC data not found; please upload correct KYC
,19,4049174,Document Scan,3,0.3,29,Please scan the correct document 
,20,4686248,Select Document Type,2,0.1,29,Please select correct document type
,21,3992756,Upload Document,1,0.10344827586206896,23,Upload the Selected Document
,22,4582556,Document Scan,1,0.1,25,Proceed to Document Upload
,23,3460404,Document Scan,3,0.3,32,Please scan the correct document 
,24,3744193,KYC Check,2,0.4,26,KYC data not found; please upload correct KYC
,25,3582501,KYC Approved,1,0,18,KYC Successful
,26,1447760,Select Document Type,1,0.05,15,Select Document Type - PAN/ Aadhar/ Voter
,27,4862325,Upload Document,2,0.3333333333333333,31,Please upload the correct selected document
,28,2553287,Document Scan,3,0.3,35,Please scan the correct document 
,29,2274821,KYC Check,2,0.4,37,KYC data not found; please upload correct KYC
,30,4440662,Upload Document,1,0.08571428571428572,16,Upload the Selected Document
,31,2727455,KYC Approved,1,0,23,KYC Successful
,32,2389841,Upload Document,3,0.5625,30,Please upload the correct selected document
,33,3594541,Select Document Type,2,0.1,40,Please select correct document type
,34,1603114,Document Scan,3,0.3,44,Please scan the correct document 
,35,4992429,Upload Document,2,0.15,37,Please upload the correct selected document
,36,5052107,Document Scan,1,0.1,20,Proceed to Document Upload
,37,2597690,Document Scan,1,0.1,20,Proceed to Document Upload
,38,2007113,KYC Check,3,0.6,43,KYC data not found; please upload correct KYC
,39,2242528,Document Scan,2,0.2,39,Please scan the correct document 
,40,4948843,Select Document Type,3,0.15,45,Please select correct document type
,41,2598277,Upload Document,2,0.15384615384615385,30,Please upload the correct selected document
,42,2594567,Document Scan,3,0.3,36,Please scan the correct document 
,43,1676683,Document Scan,2,0.2,29,Please scan the correct document 
,44,1553844,KYC Check,1,0.2,22,KYC check in progress please wait
,45,2706028,KYC Approved,1,0,17,KYC Successful
,46,2071386,Select Document Type,3,0.15,29,Please select correct document type
,47,1002302,Upload Document,2,0.35294117647058826,33,Please upload the correct selected document
,48,1708997,Document Scan,3,0.3,44,Please scan the correct document 
,49,1399129,KYC Check,2,0.4,35,KYC data not found; please upload correct KYC
,50,4458944,Upload Document,1,0.06818181818181818,21,Upload the Selected Document
,51,1199069,KYC Approved,1,0,24,KYC Successful
,52,3691136,Upload Document,3,0.42857142857142855,33,Please upload the correct selected document
,53,3753888,Select Document Type,2,0.1,30,Please select correct document type
,54,3986397,Document Scan,3,0.3,40,Please scan the correct document 
,55,2447077,Upload Document,2,0.2,27,Please upload the correct selected document
,56,4937800,Document Scan,1,0.1,18,Proceed to Document Upload
,57,3403105,Document Scan,1,0.1,15,Proceed to Document Upload
,58,4416481,KYC Check,3,0.6,37,KYC data not found; please upload correct KYC
,59,3290915,Document Scan,2,0.2,39,Please scan the correct document 
,60,4176994,Select Document Type,1,0.05,23,Select Document Type - PAN/ Aadhar/ Voter
,61,1743764,Upload Document,3,0.23076923076923078,37,Please upload the correct selected document
,62,3133887,Document Scan,3,0.3,38,Please scan the correct document 
,63,1572665,Document Scan,2,0.2,25,Please scan the correct document 
,64,4723716,KYC Check,1,0.2,17,KYC check in progress please wait
,65,3382697,KYC Approved,1,0,24,KYC Successful
,66,3903258,Select Document Type,3,0.15,35,Please select correct document type
,67,4498767,Upload Document,2,0.25,25,Please upload the correct selected document
,68,4755573,Document Scan,3,0.3,36,Please scan the correct document 
,69,4017802,KYC Check,2,0.4,36,KYC data not found; please upload correct KYC
,70,1946570,Upload Document,1,0.08333333333333333,25,Upload the Selected Document
,71,4339090,KYC Approved,1,0,24,KYC Successful
,72,3513797,Upload Document,3,0.36,43,Please upload the correct selected document
,73,1407665,Select Document Type,2,0.1,30,Please select correct document type
,74,1694056,Document Scan,3,0.3,46,Please scan the correct document 
,75,1354052,Upload Document,2,0.2,38,Please upload the correct selected document
,76,3064409,Document Scan,1,0.1,17,Proceed to Document Upload
,77,4241022,Document Scan,1,0.1,23,Proceed to Document Upload
,78,3220253,KYC Check,3,0.6,45,KYC data not found; please upload correct KYC
,79,3684024,Document Scan,2,0.2,27,Please scan the correct document 
,80,1230156,Select Document Type,1,0.05,19,Select Document Type - PAN/ Aadhar/ Voter
,81,1690938,Upload Document,2,0.2222222222222222,35,Please upload the correct selected document
,82,3412158,Document Scan,3,0.3,28,Please scan the correct document 
,83,1583493,Document Scan,2,0.2,25,Please scan the correct document 
,84,5018006,KYC Check,1,0.2,23,KYC check in progress please wait
,85,2367576,KYC Approved,1,0,25,KYC Successful
,86,3319455,Select Document Type,3,0.15,47,Please select correct document type
,87,4737021,Upload Document,2,0.24,33,Please upload the correct selected document
,88,2495649,Document Scan,3,0.3,35,Please scan the correct document 
,89,3411883,KYC Check,2,0.4,30,KYC data not found; please upload correct KYC
,90,2558590,Upload Document,1,0.08571428571428572,21,Upload the Selected Document
,91,4579831,KYC Approved,1,0,20,KYC Successful
,92,4719332,Upload Document,3,0.42857142857142855,42,Please upload the correct selected document
,93,3012328,Select Document Type,2,0.1,37,Please select correct document type
,94,2177801,Document Scan,3,0.3,45,Please scan the correct document 
,95,1294177,Upload Document,2,0.16216216216216217,26,Please upload the correct selected document
,96,4119819,Document Scan,1,0.1,20,Proceed to Document Upload
,97,5048110,Document Scan,1,0.1,20,Proceed to Document Upload
,98,3835441,KYC Check,3,0.6,39,KYC data not found; please upload correct KYC
,99,5002005,Document Scan,2,0.2,31,Please scan the correct document 
,100,5016021,Select Document Type,1,0.05,23,Select Document Type - PAN/ Aadhar/ Voter
,101,3597484,Upload Document,2,0.1935483870967742,35,Please upload the correct selected document
,102,2388949,Document Scan,3,0.3,39,Please scan the correct document 
,103,2388867,Document Scan,2,0.2,40,Please scan the correct document 
,104,4347089,KYC Check,1,0.2,24,KYC check in progress please wait
,105,4944063,KYC Approved,1,0,24,KYC Successful
,106,3803236,Select Document Type,3,0.15,38,Please select correct document type
,107,2947787,Upload Document,2,0.25,32,Please upload the correct selected document
,108,1503525,Document Scan,3,0.3,45,Please scan the correct document 
,109,2013655,KYC Check,2,0.4,28,KYC data not found; please upload correct KYC
,110,2184845,Upload Document,1,0.06666666666666667,18,Upload the Selected Document
,111,2218301,KYC Approved,1,0,25,KYC Successful
,112,2242823,Upload Document,3,0.5,30,Please upload the correct selected document
,113,4011801,Select Document Type,2,0.1,31,Please select correct document type
,114,2263256,Document Scan,3,0.3,35,Please scan the correct document 
,115,2886484,Upload Document,2,0.1935483870967742,25,Please upload the correct selected document
,116,2940762,Document Scan,1,0.1,17,Proceed to Document Upload
,117,3487702,Document Scan,1,0.1,25,Proceed to Document Upload
,118,4682732,KYC Check,3,0.6,34,KYC data not found; please upload correct KYC
,119,2918821,Document Scan,2,0.2,39,Please scan the correct document 
,120,2036526,Select Document Type,2,0.1,40,Please select correct document type
,121,1529774,Upload Document,3,0.23076923076923078,46,Please upload the correct selected document
,122,3757226,Document Scan,3,0.3,37,Please scan the correct document 
,123,2213103,Document Scan,2,0.2,39,Please scan the correct document 
,124,2433407,KYC Check,1,0.2,18,KYC check in progress please wait
,125,4605643,KYC Approved,1,0,16,KYC Successful
,126,3418385,Select Document Type,3,0.15,39,Please select correct document type
,127,4222817,Upload Document,2,0.375,35,Please upload the correct selected document
,128,2614314,Document Scan,3,0.3,40,Please scan the correct document 
,129,3749061,KYC Check,2,0.4,39,KYC data not found; please upload correct KYC
,130,4776674,Upload Document,1,0.075,25,Upload the Selected Document
,131,4885436,KYC Approved,1,0,17,KYC Successful
,132,4552551,Upload Document,3,0.36,35,Please upload the correct selected document
,133,4273339,Select Document Type,2,0.1,37,Please select correct document type
,134,3049936,Document Scan,3,0.3,35,Please scan the correct document 
,135,1771107,Upload Document,2,0.16216216216216217,29,Please upload the correct selected document
,136,1070914,Document Scan,1,0.1,17,Proceed to Document Upload
,137,2360051,Document Scan,1,0.1,21,Proceed to Document Upload
,138,1479376,KYC Check,3,0.6,45,KYC data not found; please upload correct KYC
,139,2186847,Document Scan,2,0.2,26,Please scan the correct document 
,140,2403781,Select Document Type,3,0.15,31,Please select correct document type
,141,4892496,Upload Document,1,0.11538461538461539,21,Upload the Selected Document
,142,1921309,Document Scan,3,0.3,38,Please scan the correct document 
,143,1400785,Document Scan,2,0.2,39,Please scan the correct document 
,144,1426293,KYC Check,1,0.2,24,KYC check in progress please wait
,145,1389124,KYC Approved,1,0,24,KYC Successful
,146,2640883,Select Document Type,3,0.15,37,Please select correct document type
,147,4027422,Upload Document,2,0.25,40,Please upload the correct selected document
,148,3321041,Document Scan,3,0.3,45,Please scan the correct document 
,149,2680363,KYC Check,2,0.4,39,KYC data not found; please upload correct KYC
,150,3928914,Upload Document,1,0.06666666666666667,19,Upload the Selected Document
,151,3428280,KYC Approved,1,0,22,KYC Successful
,152,3737084,Upload Document,3,0.47368421052631576,38,Please upload the correct selected document
,153,4468058,Select Document Type,2,0.1,35,Please select correct document type
,154,2375651,Document Scan,3,0.3,43,Please scan the correct document 
,155,1460737,Upload Document,2,0.17142857142857143,34,Please upload the correct selected document
,156,3527895,Document Scan,1,0.1,16,Proceed to Document Upload
,157,3102851,Document Scan,1,0.1,18,Proceed to Document Upload
,158,3484186,KYC Check,3,0.6,28,KYC data not found; please upload correct KYC
,159,1977928,Document Scan,2,0.2,35,Please scan the correct document 
,160,4911101,Select Document Type,2,0.1,32,Please select correct document type
,161,4714653,Upload Document,1,0.08571428571428572,18,Upload the Selected Document
,162,3673552,Document Scan,3,0.3,33,Please scan the correct document 
,163,1293151,Document Scan,2,0.2,28,Please scan the correct document 
,164,1872049,KYC Check,1,0.2,24,KYC check in progress please wait
,165,1003313,KYC Approved,1,0,19,KYC Successful
,166,2760012,Select Document Type,3,0.15,41,Please select correct document type
,167,3192893,Upload Document,2,0.3157894736842105,37,Please upload the correct selected document
,168,1366919,Document Scan,3,0.3,31,Please scan the correct document 
,169,3874655,KYC Check,2,0.4,25,KYC data not found; please upload correct KYC
,170,4232518,Upload Document,1,0.0967741935483871,15,Upload the Selected Document
,171,4124848,KYC Approved,1,0,23,KYC Successful
,172,3961616,Upload Document,3,0.6,35,Please upload the correct selected document
,173,3633560,Select Document Type,2,0.1,38,Please select correct document type
,174,2451917,Document Scan,3,0.3,48,Please scan the correct document 
,175,3561788,Upload Document,1,0.07894736842105263,21,Upload the Selected Document
,176,2934085,Document Scan,3,0.3,29,Please scan the correct document 
,177,2116610,Document Scan,3,0.3,32,Please scan the correct document 
,178,2271752,KYC Check,3,0.6,43,KYC data not found; please upload correct KYC
,179,3434408,Document Scan,1,0.1,22,Proceed to Document Upload
,180,2573254,Select Document Type,1,0.05,15,Select Document Type - PAN/ Aadhar/ Voter
,181,2994786,Upload Document,2,0.2727272727272727,36,Please upload the correct selected document
,182,4362374,Document Scan,3,0.3,40,Please scan the correct document 
,183,1443512,Document Scan,2,0.2,25,Please scan the correct document 
,184,4707392,KYC Check,3,0.6,29,KYC data not found; please upload correct KYC
,185,2970518,KYC Approved,3,0.15,36,KYC Successful
,186,2004587,Select Document Type,1,0.05,18,Select Document Type - PAN/ Aadhar/ Voter
,187,2373908,Upload Document,1,0.08333333333333333,18,Upload the Selected Document
,188,3333036,Document Scan,2,0.2,25,Please scan the correct document 
,189,2769365,KYC Check,3,0.6,39,KYC data not found; please upload correct KYC
,190,1104480,Upload Document,2,0.24,26,Please upload the correct selected document
,191,3178913,KYC Approved,3,0.15,35,KYC Successful
,192,3539063,Upload Document,3,0.34615384615384615,37,Please upload the correct selected document
,193,2000956,Select Document Type,1,0.05,20,Select Document Type - PAN/ Aadhar/ Voter
,194,2206894,Document Scan,1,0.1,20,Proceed to Document Upload
,195,1342724,Upload Document,2,0.3,29,Please upload the correct selected document
,196,4183820,Document Scan,3,0.3,33,Please scan the correct document 
,197,2547050,Document Scan,2,0.2,35,Please scan the correct document 
,198,1845117,KYC Check,3,0.6,29,KYC data not found; please upload correct KYC
,199,5094912,Document Scan,3,0.3,40,Please scan the correct document 
,200,2929923,Select Document Type,1,0.05,19,Select Document Type - PAN/ Aadhar/ Voter
,201,4541625,Upload Document,1,0.075,18,Upload the Selected Document
,202,4080487,Document Scan,2,0.2,26,Please scan the correct document 
